   0    0.340057    -29.336884    -29.237122
   1    0.340057    -29.336884    -29.237122
   0    0.355557    -29.136586    -29.032989
   1    0.355557    -29.136586    -29.032989
   0    0.409845    -28.949000    -28.830354
   1    0.409845    -28.949000    -28.830354
   0    0.330135    -28.862288    -28.767003
   1    0.330135    -28.862288    -28.767003
   0    0.328022    -28.838628    -28.744031
   1    0.328022    -28.838628    -28.744031
   0    0.407867    -28.818533    -28.700992
   1    0.407867    -28.818533    -28.700992
   0    0.338985    -28.800078    -28.702450
   1    0.338985    -28.800078    -28.702450
   0    0.437666    -28.792894    -28.666877
   1    0.437666    -28.792894    -28.666877
   0    0.361644    -28.788417    -28.684305
   1    0.361644    -28.788417    -28.684305
   0    1.009825    -28.771409    -28.480868
   1    1.009825    -28.771409    -28.480868
   0    1.453987    -28.749770    -28.331752
   1    1.453987    -28.749770    -28.331752
   0    1.220116    -28.749058    -28.398286
   1    1.220116    -28.749058    -28.398286
   0    1.475896    -28.742325    -28.318118
   1    1.475896    -28.742325    -28.318118
   0    0.937625    -28.728049    -28.458688
   1    0.937625    -28.728049    -28.458688
   0    0.827977    -28.726019    -28.488174
   1    0.827977    -28.726019    -28.488174
   0    0.328974    -28.717754    -28.623280
   1    0.328974    -28.717754    -28.623280
   0    0.329340    -28.715026    -28.620456
   1    0.329340    -28.715026    -28.620456
   0    0.329377    -28.715025    -28.620444
   1    0.329377    -28.715025    -28.620444
   0    0.329663    -28.710107    -28.615460
   1    0.329663    -28.710107    -28.615460
