0   1    0.339136    -29.336884    -29.237392
1   1    0.339136    -29.336884    -29.237392
0   2    0.334339    -29.136586    -29.039171
1   2    0.334339    -29.136586    -29.039171
0   3    0.360935    -28.949000    -28.844513
1   3    0.360935    -28.949000    -28.844513
0   4    0.324685    -28.862288    -28.768576
1   4    0.324685    -28.862288    -28.768576
0   5    0.328369    -28.838628    -28.743931
1   5    0.328369    -28.838628    -28.743931
0   6    0.349956    -28.818533    -28.717681
1   6    0.349956    -28.818533    -28.717681
0   7    0.327495    -28.800078    -28.705759
1   7    0.327495    -28.800078    -28.705759
0   8    0.396028    -28.792894    -28.678866
1   8    0.396028    -28.792894    -28.678866
0   9    0.335481    -28.788417    -28.691837
1   9    0.335481    -28.788417    -28.691837
0  10    0.324019    -28.771409    -28.678184
1  10    0.324019    -28.771409    -28.678184
0  11    0.339488    -28.749770    -28.652168
1  11    0.339488    -28.749770    -28.652168
0  12    0.328717    -28.749058    -28.654555
1  12    0.328717    -28.749058    -28.654555
0  13    0.330804    -28.742325    -28.647244
1  13    0.330804    -28.742325    -28.647244
0  14    0.327789    -28.728049    -28.633882
1  14    0.327789    -28.728049    -28.633882
0  15    0.332364    -28.726019    -28.630544
1  15    0.332364    -28.726019    -28.630544
0  16    0.724221    -28.717754    -28.509774
1  16    0.724221    -28.717754    -28.509774
0  17    0.977534    -28.715026    -28.434327
1  17    0.977534    -28.715026    -28.434327
0  18    0.993318    -28.715025    -28.429793
1  18    0.993318    -28.715025    -28.429793
0  19    0.847101    -28.710107    -28.466903
1  19    0.847101    -28.710107    -28.466903
