 1 0 0    0.5    1          0.000000
 3 1 1    1.5    1          0.2002979
 1 1 1    1.5    2          0.3878840
 1 2 0    2.5    1          0.5183508
 3 1 0    2.5    2          0.5439902
 3 0 0    3.5    1          0.4745964
 1 0 0    3.5    2          0.4982559
 3 1 1    4.5    1          0.5368061
 1 1 1    4.5    2          0.5484674
 3 2 0    5.5    1          0.5654751
 1 2 0    5.5    2          0.5871140
 3 0 0    6.5    1          0.5878260   
 1 0 0    6.5    2          0.5945592        
 3 1 1    7.5    1          0.6088346       
 1 1 1    7.5    2          0.6108651        
 3 2 0    8.5    1          0.6191300       
 3 3 1    9.5    1          0.6218579       
 1 3 1    9.5    2          0.6218594       
 1 2 0    8.5    2          0.6267773       
